Acente Adı,Adres,Telefon Numarası,E-posta Adresi,Profil Linki
FAST PROJEKT,Ulica Boska Vrebalova 1 12220 - Veliko Gradište,063 359324,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/337/
TAKOVO,"svetosavska 26, 26 26 12000 - Požarevac","+1 2510515, 065 6449767",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3757/
YUMILAND,"TC Reč naroda, Takovska 5A, 2. sprat, 5A 12000 - Požarevac","012 532522, 069 2532522",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4079/
