Acente Adı,Adres,Telefon Numarası,E-posta Adresi,Profil Linki
CENZAR,Ulica Prvomajska 14 24000 - Subotica,024 600680,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3439/
Kvadrat 024,"Ulica Endrea Bajci-Zilinskog, 5 5 24109 - Subotica","024 600024, 060 0657508",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4033/
CB NEKRETNINE,Dušana Petrovića 2 2 24109 - Subotica,062 556306,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/427/
MAŠA NEKRETNINE,"Ulica Matka Vukovica, 8 - Subotica",060 0111944,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4761/
