Acente Adı,Adres,Telefon Numarası,E-posta Adresi,Profil Linki
RADANOVIĆ NEKRETNINE,"Ulica Dr Teodora Bozina Sabac, 15000 1 15000 - Šabac",063 532888,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/753/
CAPITAL LUX,Ulica Kneza Milosa 8 15300 - Loznica,061 6648222,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/797/
FILIPOVIĆ INVEST GRADNJA,Ulica Dragana Srnica 1B 15300 - Loznica,064 4168882,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/869/
GRADEKS,Ulica Uciteljska 12 15300 - Loznica,"015 893993, 063 226399",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1087/
LIBERO,Cara Dusana 7 7 15000 - Šabac,"015 340190, 063 395544",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/2119/
MABO INVEST,Ulica Miodraga Borisavljevica 4 15300 - Loznica,069 8645365,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/817/
ĐUKIĆ,Ulica Luke Stevica 1 15300 - Loznica,"069 8568270, 063 353404",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/629/
