Acente Adı,Adres,Telefon Numarası,E-posta Adresi,Profil Linki
CONFIDO NEKRETNINE,"Ulica Marshala Birjuzova, 1, Beograd Srbija, 11000 1 11000 - Beograd",060 6262045,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/177/
PLUS-BONUS,Ulica Palmira Toljatija 5 11070 - Beograd,"011 2691240, 060 7277177",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/977/
IV NEKRETNINE,16.oktobra 14 14 11050 - Beograd,"011 7645606, 065 3422271",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/2575/
CITYPRO,"Лазаревачки друм, 12Б, Београд Србија, 11030 12 11030 - Beograd","063 219949, 011 4452099",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/633/
NEŠKOVIĆ-STOJKOV NEKRETNINE,Ulica Jurija Gagarina 219 11073 - Beograd,063 277756,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/789/
HOUSE BOOKER,Ulica Zeleni venac 2A 11000 - Beograd,060 5050191,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3421/
KAAT Nekretnine,Ulica Pilota Mihaila Petrovica 33V 11090 - Beograd,066 443011,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3405/
NOVI DOM,Ulica Omladinskih brigada 91 11070 - Beograd,061 1349971,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1925/
URBANIA,Ulica Dusana Milosevica 6 11060 - Beograd,065 5330000,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/855/
BLANUSA REAL ESTATE,Ulica Branka Krsmanovica 7 11050 - Beograd,"064 2828878, 064 2946550",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/813/
OZRENKA NEKRETNINE,Ulica Zarkovacka 56 11030 - Beograd,"064 1237943, 011 3573151",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3273/
SISTEM TIM,Ulica Svetogorska 7 11103 - Beograd,"065 2027055, 065 3216789",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3477/
BG PROPERTY GROUP,Ulica Drenjacka 46 11309 - Beograd,"063 7284324, 062 8184758",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3277/
NEPOKRETNOSTI REAL ESTATE,Ulica Crnotravska 1 11040 - Beograd,063 631191,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/637/
EUROKVADRAT,Ulica Maksima Gorkog 105 11050 - Beograd,063 467765,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/367/
SAVA LUX PROPERTY,Bulevar vojvode Mišića 67 11000 - Beograd,063 7857519,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1129/
ALFA PLUS NEKRETNINE,Ulica Podravska 4 11010 - Beograd,"011 2469363, 063 247555",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/359/
TRIONEKRETNINE,Ulica Jurija Gagarina 229 11073 - Beograd,"011 4230505, 063 7367900",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/601/
LESTO REALTY,Bulevar Milutina Milankovica 7 11070 - Beograd,"063 667770, 063 443388",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/833/
KEČA NEKRETNINE,KRALjA PETRA PRVOG 181 11000 - Beograd,063 8232015,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/845/
QUATTRO NEKRETNINE,Ulica Dravska 1 11130 - Beograd,065 9925088,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3423/
COMFORT DE LUXE,Ulica Antifasisticke Borbe 18 11070 - Beograd,063 215982,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1871/
BRIMA REAL ESTATE,Ulica Stevana Markovica 3 11080 - Beograd,066 6161161,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/529/
TEŠIĆ KA,Ulica Pariske komune 59 11070 - Beograd,065 6296345,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/779/
REAL ESTATE HUB,Ulica Jurija Gagarina 151 11073 - Beograd,065 2585922,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/2641/
LATERNA NEKRETNINE,Ulica Omladinskih brigada 174 11073 - Beograd,064 1515091,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/559/
TENA PLUS,Ulica Palmira Toljatija 5 11070 - Beograd,"063 7717833, 065 2512130",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/2541/
Krstic Nekretnine DOO,Ulica Vojvode Stepe 34 11010 - Beograd,"063 8888553, 064 1188882",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4495/
HELIANTHUS NEKRETNINE,Ulica Generala Anrija 17 11040 - Beograd,064 5228049,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/585/
NEKRETNINE STAR 011,Ulica Zdravka Celara 12 11120 - Beograd,064 6150580,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/2293/
SINGIDUN,Molerova 75 11000 - Beograd,"011 3442354, 063 365447",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3269/
VILOTIĆ GROUP,Ulica Vojvode Zivojina Misica 133 11500 - Beograd,063 250122,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/671/
URBAN NEST REAL ESTATE,Ulica Sime Igumanova 2 11118 - Beograd,064 2471976,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1187/
SINTAKSA REAL ESTATE,Ulica Vlajkoviceva 12 11103 - Beograd,063 8622444,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/815/
LAWA HOSPITALITY,Ulica Bregalnicka 2 11050 - Beograd,063 1111221,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/2273/
OBLAK LUX DOO,Ulica Borska 45 11090 - Beograd,"064 8594625, 064 2371313",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/2503/
BEOPROJEKT INŽENJERING,Ulica Kamenorezacka 14 11060 - Beograd,"062 380042, 062 380041",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3237/
SRDIĆ MARKOVIĆ,Ulica Kralja Milutina 69 11000 - Beograd,060 4858777,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1935/
DOMINIUM FSR,Ulica Prolupine 34 11306 - Beograd,063 245860,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1185/
SUNCE PLUS,Ulica Mike Petrovica Alasa 13 11158 - Beograd,060 3343141,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/2643/
URBANOVA REALTY,Ulica Visegradska 12 11000 - Beograd,066 296998,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3463/
DREAM REAL ESTATE,Ustanicka 167 43 11000 - Beograd,060 0576306,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/311/
NEKRETNINE NIKOLAJEVIĆ,Ulica Mihizova 22 11158 - Beograd,063 348261,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1019/
IDEALAN STAN doo,Ulica Jurija Gagarina 151 11073 - Beograd,"011 2289403, 064 0174272",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/595/
ARAMONT,Ulica Vojvode Milenka Stojkovica 1l 11000 - Beograd,"011 2750813, 064 8941001",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3063/
IMPULS NEKRETNINE,Ulica Makenzijeva 37 11111 - Beograd,063 369522,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3399/
GRAND STAR doo,Ulica Milovana Milovanovica 1 11000 - Beograd,063 200181,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4873/
AGENCIJA BRANKOVIĆ,- 11160 - Beograd,063 614801,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/29/
TOP REAL ESTATE,Ulica Pozeska 79 11030 - Beograd,061 6957898,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1927/
DENČIĆ,Ulica Bartok Bele 20 11210 - Beograd,"011 4122001, 064 2452300",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/49/
NOVA ZGRADA,Ulica Tadeusa Koscuska 92 11158 - Beograd,063 1829848,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/385/
GALIJA REAL ESTATE,"Ulica Beogradska 62 Beograd, 11000 62 11000 - Beograd",064 1329769,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1133/
OzNekretnine,"Dunavski kej 15, 15 - Beograd","011 4067796, 063 344844",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3905/
LISTER NEKRETNINE,Ulica Otona Zupancica 46 11080 - Beograd,064 3899319,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/239/
OAZA PROPERTIES,Ulica Zemunska 35 11077 - Beograd,065 8725747,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/393/
REAL ESTATE SOLUTIONS,Ulica Djordja Stanojevica 12 11070 - Beograd,065 3215980,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/865/
EDEN INTERNATIONAL 2013,Ulica Jelisavete Nacic 14 11108 - Beograd,"011 6901751, 063 8779126",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1181/
LVN REALTY AND ADVISORY,Ulica Generala Nikodija Stefanovica 3 11040 - Beograd,"063 345577, 063 635196",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1209/
NEKRETNINE NIKOLIĆ,Ulica Mileve Maric Ajnstajn 94 11077 - Beograd,063 236344,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/823/
AFI SKYLINE RESIDENCE,Bulevar Vojvode Bojovica 28 11000 - Beograd,"011 225877, 062 303006",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3487/
GJV EXPERT,Ulica Sundeciceva 30 11050 - Beograd,065 8130060,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3437/
UNITED CITY GROUP,Ulica Admirala Geprata 15 11000 - Beograd,"011 4030746, 064 1139202",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1123/
RENTANOVA,Ulica Ljube Jovanovica 1 11040 - Beograd,065 9518888,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/2581/
NEKRETNINE RANĐELOVIĆ,Ulica Marka Tajcevica 10A 11050 - Beograd,066 156157,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/2845/
Casamia,Ulica Terazije 18 11000 - Beograd,+39 339 123 9874,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3/
ALTA PROPERTY,Francuska 12 12 11158 - Beograd,065 4596884,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1137/
DE-MI INTERNATIONAL,Ulica Vojni put blok 1. 171A 11080 - Beograd,063 234078,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/167/
RENE 011,"Ulica Laze Jovanovitsha Porcija, 41, Beograd Srbija, 11080 41 11080 - Beograd",063 7706025,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1855/
GREEN DOOR PROPERTIES,"Balkanska 18 (TC Ivanium), lok. 50 18 11000 - Beograd","011 3626009, 064 3301577",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/761/
BGD NEKRETNINE,Vojvode Micka Krstića 1k 1K 11060 - Beograd,065 2239344,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1279/
POTOCHNY REAL ESTATE,Ulica Karadjordjeva 41A 11000 - Beograd,069 3017113,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3475/
GEMAR,Ulica Ustanicka 189 11050 - Beograd,"063 7564438, 066 9020839",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1127/
BG NEKRETNINE-VINČA,Ulica Palih boraca 117 11351 - Beograd,065 6792753,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1877/
TIMI HOLDINGS LIMITED,Ulica Balkanska 2 11000 - Beograd,"011 205515, 066 205516",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/819/
PROPERTIES 4 YOU,Knez Mihailova 33 33 11000 - Beograd,"062 8132032, 063 7734350",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3425/
GARNET REAL-ESTATE,Ulica Rajka Mitica 28B 11040 - Beograd,060 5472000,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3431/
MCP,Ulica Zarkovacka 24 11030 - Beograd,062 8888887,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3471/
Kvadrat Više Nekretnine,Ulica Prvomajska 8 11080 - Beograd,"011 3162816, 063 215104",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/5065/
Elite pro,Ulica Stanislava Sremcevica Crnog 11 11050 - Beograd,064 1224696,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4909/
AMAJLIJA NEKRETNINE,"Танаска Рајића, 68 38 11224 - Beograd",069 1998777,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4593/
KONSTRUKTOR KONSALTING,Bulevar Vojvode Bojovica 28 11000 - Beograd,"062 258678, 062 232519",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/381/
SBRE,Ulica Vojvode Savatija 12 11120 - Beograd,060 4466909,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/373/
HOMA PROPERTIES,Bulevar Kralja Aleksandra 171 11120 - Beograd,064 1169582,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1705/
OZON NEKRETNINE,Ulica Prvoboraca 30 11090 - Beograd,069 679869,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1933/
GOLDNET REAL ESTATE,Ulica Hanibala Lucica 2 11050 - Beograd,064 9790641,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/2569/
ĆIRIĆ HOME INVEST,Ulica Draginje Gavrilovic 27 11010 - Beograd,063 383393,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3211/
NLV Estate Obrenovac,Ulica Vlaska basta 7 11500 - Beograd,063 210851,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4891/
arcoSITE d.o.o.,Ulica Dvadesetsedmog Marta 35 11120 - Beograd,064 0600400,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4911/
KVADRAT OBRENOVAC,Ulica Vojvode Zivojina Misica 192 11500 - Beograd,066 9319953,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/863/
ADRIATIC BANK,Ulica Dalmatinska 22 11120 - Beograd,"066 8833168, 066 8833402",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/189/
SCP,Ulica 27. marta 39 11120 - Beograd,"011 3343334, 060 1668139",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1763/
SKALINA,Ulica Klare Cetkin 3 11080 - Beograd,069 1681712,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3305/
ANKH,"Ulica Risanska, 7 7 11000 - Beograd","061 6044429, 067 7397617",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/179/
MINT,Ulica Ljermontova 19 11050 - Beograd,065 3285500,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/293/
MVC MIRKOVIĆ INVEST,Ulica Nikolaja Gogolja 5 11030 - Beograd,062 269970,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/343/
DLD-PRO,Ulica Maleska 34 11040 - Beograd,"011 3066838, 069 2611519",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1597/
CONSULTING PLUS,Ulica Ulcinjska 8 11050 - Beograd,063 201168,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/695/
iO Partners,Bulevar Mihajla Pupina 6 11070 - Beograd,063 448474,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3415/
GEOTAUR,Ulica Rajka Mitica 22 11040 - Beograd,"064 2476578, 065 5035425",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3467/
LEON REAL ESTATE,"Luke Ćelovića Trebinjca, 40 - Beograd",065 2586924,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4719/
EOS MATRIX,Bulevar Milutina Milankovica 1i 11070 - Beograd,"063 1054846, 063 620686",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1093/
MNM INVEST GROUP,Ulica Susedgradska 49 11090 - Beograd,069 661061,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/951/
PROCREDIT BANK A.D.,Bulevar Milutina Milankovica 17 11070 - Beograd,063 641752,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/533/
SAX BUILDING,Ulica Darinke Jevric 32g 11060 - Beograd,064 3332117,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/829/
BUILD.ING,Ulica Pere Veljkovica 16 11160 - Beograd,069 4011938,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/171/
CITY SPACE REAL ESTATE,Bulevar Vudroa Vilsona 14 11000 - Beograd,"069 3115191, 064 8161061",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/831/
PARITAS NEKRETNINE,Ulica Jovanke Radakovic 27 11160 - Beograd,"011 2421695, 063 7747637",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/267/
AUTOR,Ulica Patrijarha Varnave 30 11118 - Beograd,"011 3119187, 063 377155",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1861/
KATEI,Ulica Blagoja Parovica 148 11030 - Beograd,060 6365500,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1923/
NIKS Development,"Bulevar Peka Dapcevica, 21B - Beograd",065 3211775,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4491/
YUGOPROJECT CONSULTING BEOGRAD,"Ulica Brankova, 16 - Beograd",065 2128641,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/4809/
Fra Ore Test,Ulica Krunska 73 11111 - Beograd,+39 329 091 5314,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/1/
