Acente Adı,Adres,Telefon Numarası,E-posta Adresi,Profil Linki
BOŽJAK NEKRETNINE,Ulica Koce Kolarova 20 23101 - Zrenjanin,063 7729329,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/33/
STEFANOV NEKRETNINE,"Ulica Nusiceva, 25 25 23101 - Zrenjanin","063 433699, 060 0884552",N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/581/
STUDIO SOKOLOV,Ulica Nikole Pasica 39 23101 - Zrenjanin,069 7226772,N/A,https://www.nekretnine.rs/en/agencije-za-nekretnine/3417/
